PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20251252;12;2025;8435974;1;1;1;60;;2;479.55661402;08;1;161;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;240000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;220000;1;2000000;3;;1;1;12;56;;;36;6;;1;8;;5;;2;;;;2;2;1;36;132;1;;3;;2;;;;;;;;1;14;2;1;1;2;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;11;;20;3;;1;220000;01;0161;9211
20251252;12;2025;8435975;1;1;1;60;;2;287.7855092;08;1;145;2;;;;;;;;;;;;48;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;28;2;;28;;;2;8;;2;;2;;;;2;2;1;12;72;4;;11;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;;01;0145;9213
20251252;12;2025;8435976;1;1;1;60;;2;209.57953565;08;1;161;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;10800000;3;;10;2;12;42;;;42;;;1;8;;2;;2;;;;2;2;1;0;12;7;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;3;;1;900000;01;0161;9213
20251252;12;2025;8435976;1;2;1;60;;2;209.57953565;08;1;9700;1;1;;;1;;1;;2;2;2;2;12;3;;2;2;2;2;1;2;400000;2;;2;;;1;360000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;45;;;45;;;1;2;;2;;2;;;;2;2;1;1;6;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;15;3;;1;760000;97;9700;9111
20251252;12;2025;8435977;1;1;1;60;;2;1668.1942532;13;1;4719;2;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;300000;1;1200000;2;;3;2;4;20;2;;20;;;1;1;;2;;2;;;;2;2;1;8;4;4;;13;REALIZA LAS MISMA ACTIVIDAD SOLO EN LOS ULTIMOS CUATRO MESES DEL AÑO;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;5;;1;300000;47;4719;5223
20251252;12;2025;8435977;1;2;1;60;;2;1668.1942532;13;1;4111;1;1;;;1;;1;;2;2;2;2;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;6;;;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;400000;1;4800000;3;;3;2;12;40;;;40;;;2;2;;2;;2;;;;2;2;1;1;60;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;5;;1;400000;41;4111;9313
20251252;12;2025;8435978;1;2;1;60;;2;1824.8978165;13;1;4111;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;6000000;3;;10;1;12;30;1;;30;;;2;2;;2;;2;;;;2;2;1;0;120;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;2;2;1;3;;5;9;;1;500000;41;4111;9313
20251252;12;2025;8435979;1;1;1;60;;2;1282.8815212;13;1;113;2;;;;;;;;;;;;540;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;300000;1;1200000;3;;9;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;2;;;;;;;1;10;6222;312;4;150000;1;8;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;5;;1;450000;01;0113;6111
20251252;12;2025;8435979;1;2;1;60;;2;1282.8815212;13;1;4789;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;150000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;150000;1;1200000;3;;3;2;12;20;2;;20;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;5;;1;150000;47;4789;9520
20251252;12;2025;8435979;1;3;1;60;;2;1282.8815212;13;1;5630;1;1;;;1;;1;;2;2;2;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;6;;;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;400000;1;400000;3;;3;2;1;40;;;40;;;3;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;5;;1;400000;56;5630;5223
20251252;12;2025;8435980;1;1;1;60;;2;2096.5080099;13;1;113;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;350000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;350000;1;3500000;3;;9;2;12;40;;;40;;;1;8;;3;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;15;5;;1;350000;01;0113;6114
20251252;12;2025;8435980;1;2;1;60;;2;2096.5080099;13;1;8891;1;2;2;11;2;3;1;9499;1;2;1;1;48;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;2;;;1;220000;2;2;;;2;;;2;;;1;1400000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;48;;;48;;;9;7;;1;;1;1;1;4;1;1;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;1;;1;1423500;88;8891;2342
20251252;12;2025;8435981;1;1;1;60;;2;1614.7297622;13;1;8530;1;2;1;;2;4;1;8530;1;1;1;1;312;2;;1;1;1;1;5;1;4300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;4200000;1;4200000;1;2100000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;3;1;26;1;1;1;0;60;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;3;;5;1;;1;4300000;85;8530;2330
20251252;12;2025;8435982;1;1;1;60;;2;1638.1312581;13;1;150;2;;;;;;;;;;;;600;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;1500000;3;;9;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;5;;1;200000;01;0150;6111
20251252;12;2025;8435982;1;8;1;60;;2;1638.1312581;13;1;9700;1;1;;;1;;1;;2;2;2;2;12;3;;2;2;2;2;1;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;1;2;;2;;2;;;;2;2;1;2;8;3;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;5;;1;400000;97;9700;9111
20251252;12;2025;8435984;1;2;1;60;;2;2087.6986181;13;1;113;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;0;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;0;1;2000000;3;;1;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;0;240;4;;3;;2;;;;;;;;2;;;;1;2;1;2;2;2;1;1;2;2;;2;1;2;2;1;2;2;1;9;;40;9;;1;0;01;0113;6111
20251252;12;2025;8435984;1;5;1;60;;2;2087.6986181;13;1;163;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;3;6;;;1080000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1080000;1;7000000;2;;10;1;12;44;;;44;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;;50;3;;1;1080000;01;0163;9211
20251252;12;2025;8435986;1;1;1;60;;2;1245.3007381;13;1;4789;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;400000;1;4800000;3;;3;2;12;40;;;40;;;1;6;;2;;2;;;;2;2;2;;;;;;;1;20;6114;126;4;0;2;8;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;8;9;;1;400000;47;4789;9520
20251252;12;2025;8435989;1;1;1;60;;2;1675.5280041;13;1;9700;1;1;;;1;;1;;2;2;2;2;3;3;;2;2;2;2;1;2;300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;40;;;40;;;1;2;;2;;2;;;;2;2;1;4;18;3;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;5;;1;300000;97;9700;9111
20251252;12;2025;8435990;1;1;1;60;;2;1369.830812;13;1;7420;2;;;;;;;;;;;;540;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;400000;1;3000000;3;;3;2;12;25;2;;25;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;;5;5;;1;400000;74;7420;3431
20251252;12;2025;8435991;1;1;1;60;;2;2136.7845803;13;1;4731;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;2400000;3;;1;2;12;20;2;;20;;;2;1;;2;;2;;;;2;2;2;;;;;;;1;24;9313;4111;4;150000;2;2;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;14;;;9;;1;350000;47;4731;5245
20251252;12;2025;8435991;1;2;1;60;;2;2136.7845803;13;1;4731;2;;;;;;;;;;;;60;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;24;2;;24;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;14;;;3;;1;;47;4731;5245
20251252;12;2025;8435993;1;2;1;60;;2;1335.8725496;13;1;8412;1;2;1;;1;;1;;1;1;1;1;24;2;;2;1;1;1;1;2;1600000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1600000;1;1600000;1;800000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;10;7;;1;;1;1;1;10;1;1;1;60;60;3;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;5;1;;1;1600000;84;8412;3343
20251252;12;2025;8435993;1;3;1;60;;2;1335.8725496;13;1;4330;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;1600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1600000;1;19200000;3;;3;2;12;44;;;44;;;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;20;2;;1;1600000;43;4330;9313
20251252;12;2025;8435994;1;1;1;60;;2;2361.4673103;13;1;161;1;1;;;1;;1;;2;2;2;2;300;7;;2;2;2;2;1;2;640000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;3;8;;2;;2;;;;2;2;1;1;240;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;10;5;;1;640000;01;0161;9211
20251252;12;2025;8435994;1;3;1;60;;2;2361.4673103;13;1;4210;1;1;;;1;;1;;2;2;2;2;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;6;;;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;400000;1;4500000;3;;3;2;12;50;;;50;;;3;2;;2;;2;;;;2;2;1;1;60;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;10;5;;1;400000;42;4210;9313
20251252;12;2025;8435994;1;4;1;60;;2;2361.4673103;13;1;1081;1;1;;;1;;1;;2;2;2;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;6;;;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;300000;1;300000;3;;1;2;1;60;;;60;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;2;5;;1;300000;10;1081;5223
20251252;12;2025;8435995;1;1;1;60;;2;1495.6298557;13;1;8530;1;2;1;;2;4;1;7810;1;1;1;1;348;2;;2;1;2;1;5;2;5000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;1;65000;2;2;;;2;;;2;;;2;;1;5000000;1;2500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;10;7;;1;;1;3;1;29;1;1;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;5;1;;1;5000000;85;8530;2341
20251252;12;2025;8435996;1;3;1;60;;2;1207.0035935;13;1;9602;2;;;;;;;;;;;;18;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;250000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;250000;1;2000000;3;;3;2;12;20;2;;20;;;1;1;;2;;2;;;;2;2;1;36;12;4;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;5;;1;250000;96;9602;5142
20251252;12;2025;8435999;1;1;1;60;;2;1040.5419111;70;1;9522;2;;;;;;;;;;;;180;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;150000;1;3500000;3;;1;1;12;45;;;35;6;;1;1;;2;;2;;;;2;2;1;0;36;1;;3;;1;18;9213;161;4;120000;1;8;1;10;2;1;1;2;1;2;1;2;1;1;1;2;;2;1;2;2;1;2;1;1;14;;;8;;1;270000;95;9522;7412
